image,layer,H_mean,H_std,abs_grad_H_mean,abs_laplacian_H_mean,dH_mean,dH_std
cluttered,1,1.433683156967163,0.024079889059066772,0.020038658753037453,0.05643945932388306,0.0,0.0
cluttered,2,1.4225070476531982,0.020011866465210915,0.018381433561444283,0.049869220703840256,-0.01117614097893238,0.01765013299882412
cluttered,3,1.4263442754745483,0.016953742131590843,0.016264302656054497,0.04041868820786476,0.003837244352325797,0.013697158545255661
cluttered,4,1.4311615228652954,0.01419377513229847,0.012957212515175343,0.03245749697089195,0.00481719896197319,0.010491576045751572
cluttered,5,1.410286784172058,0.1254669427871704,0.06350185722112656,0.19501124322414398,-0.020874863490462303,0.12402180582284927
cluttered,6,1.350136160850525,0.3602900803089142,0.19151848554611206,0.5820866227149963,-0.060150545090436935,0.2615337371826172
cluttered,7,1.3374767303466797,0.4065729081630707,0.2147255390882492,0.6537699103355408,-0.012659217230975628,0.05078710988163948
cluttered,8,1.3310179710388184,0.41868820786476135,0.22210507094860077,0.6717158555984497,-0.006458938121795654,0.01718898117542267
cluttered,9,1.331528663635254,0.42031943798065186,0.22189509868621826,0.6731372475624084,0.000510571408085525,0.011728957295417786
cluttered,10,1.3326644897460938,0.41333848237991333,0.21818573772907257,0.6645272970199585,0.0011360797798261046,0.012656367383897305
cluttered,11,1.3344794511795044,0.3919617235660553,0.20733927190303802,0.6290425062179565,0.0018148708622902632,0.023871280252933502
cluttered,12,1.3589524030685425,0.36022865772247314,0.19158345460891724,0.582383394241333,0.024473005905747414,0.03705845773220062
occlusion,1,1.419819712638855,0.02463367022573948,0.02324613928794861,0.06383539736270905,0.0,0.0
occlusion,2,1.415302038192749,0.02802448719739914,0.026828641071915627,0.07165005803108215,-0.004517519846558571,0.01613573357462883
occlusion,3,1.4185006618499756,0.025924868881702423,0.024496126919984818,0.0620758980512619,0.0031984252855181694,0.012649989686906338
occlusion,4,1.4250428676605225,0.02290566824376583,0.022639943286776543,0.06055844575166702,0.006542327348142862,0.012628811411559582
occlusion,5,1.4123843908309937,0.13285303115844727,0.06840047240257263,0.19607208669185638,-0.012658643536269665,0.12658612430095673
occlusion,6,1.374171257019043,0.31798335909843445,0.16753698885440826,0.5065034627914429,-0.03821305185556412,0.2226472944021225
occlusion,7,1.3602254390716553,0.37627387046813965,0.20428961515426636,0.6296281814575195,-0.013945678249001503,0.09460575878620148
occlusion,8,1.354102611541748,0.38852035999298096,0.210821270942688,0.6493691205978394,-0.006122792139649391,0.016669224947690964
occlusion,9,1.3502274751663208,0.3870621621608734,0.20840410888195038,0.6427626609802246,-0.003875193651765585,0.01472544763237238
occlusion,10,1.3482706546783447,0.37924137711524963,0.20398977398872375,0.6311447024345398,-0.0019569939468055964,0.01566304638981819
occlusion,11,1.3454163074493408,0.35761165618896484,0.19091248512268066,0.5914998650550842,-0.0028540929779410362,0.025637198239564896
occlusion,12,1.3573274612426758,0.32708629965782166,0.17107799649238586,0.527278482913971,0.0119111193343997,0.04380323365330696
single_object,1,1.4270975589752197,0.02040165849030018,0.017547352239489555,0.04965575039386749,0.0,0.0
single_object,2,1.4225713014602661,0.02487102337181568,0.020653946325182915,0.05327581986784935,-0.004526146687567234,0.016412721946835518
single_object,3,1.424468994140625,0.022419117391109467,0.01917039416730404,0.0485779270529747,0.0018977796426042914,0.012764064595103264
single_object,4,1.4288122653961182,0.01979660429060459,0.018162183463573456,0.04605560004711151,0.0043430509977042675,0.01314630825072527
single_object,5,1.4160312414169312,0.12779903411865234,0.060024194419384,0.17391134798526764,-0.012781020253896713,0.12517006695270538
single_object,6,1.4022716283798218,0.23961827158927917,0.09840840101242065,0.2939763367176056,-0.013759590685367584,0.1175210252404213
single_object,7,1.3966491222381592,0.2702813148498535,0.10956442356109619,0.32453882694244385,-0.005622538272291422,0.03304735943675041
single_object,8,1.3922789096832275,0.2815238833427429,0.11491670459508896,0.34139376878738403,-0.0043702698312699795,0.01630774512887001
single_object,9,1.3911755084991455,0.28374311327934265,0.11508283764123917,0.34189513325691223,-0.0011033082846552134,0.011197619140148163
single_object,10,1.391910195350647,0.28047582507133484,0.112428218126297,0.3354642391204834,0.0007346357451751828,0.012092052027583122
single_object,11,1.3894360065460205,0.2672136723995209,0.1075819581747055,0.3224984407424927,-0.0024741373490542173,0.018313301727175713
single_object,12,1.3991048336029053,0.2589487135410309,0.10258368402719498,0.30599644780158997,0.00966884195804596,0.01642867736518383
symmetric,1,1.426015853881836,0.03237273544073105,0.027423977851867676,0.06790946424007416,0.0,0.0
symmetric,2,1.4172577857971191,0.03452960029244423,0.028231460601091385,0.07181835919618607,-0.008758161216974258,0.018669869750738144
symmetric,3,1.4233418703079224,0.023910487070679665,0.01971627213060856,0.055363573133945465,0.006084124092012644,0.01837504282593727
symmetric,4,1.4309076070785522,0.021524738520383835,0.018839742988348007,0.05397555232048035,0.007565788924694061,0.01758658140897751
symmetric,5,1.4109190702438354,0.14330460131168365,0.06844978034496307,0.18495535850524902,-0.019988620653748512,0.1348986029624939
symmetric,6,1.3746751546859741,0.3171323537826538,0.14156779646873474,0.37273454666137695,-0.03624378889799118,0.19333516061306
symmetric,7,1.3660216331481934,0.35443443059921265,0.15903757512569427,0.4127790629863739,-0.008653448894619942,0.040054719895124435
symmetric,8,1.3609622716903687,0.3674238622188568,0.16613583266735077,0.43229955434799194,-0.005059583578258753,0.018481360748410225
symmetric,9,1.3588517904281616,0.3675016462802887,0.16514568030834198,0.4251934885978699,-0.0021105485502630472,0.011534295044839382
symmetric,10,1.3593806028366089,0.36093342304229736,0.16088254749774933,0.4185492992401123,0.0005290649714879692,0.012837851420044899
symmetric,11,1.3632659912109375,0.3447222113609314,0.1545216292142868,0.4022662937641144,0.003885309910401702,0.020782355219125748
symmetric,12,1.3743958473205566,0.3247312009334564,0.14424143731594086,0.3737364709377289,0.011129869148135185,0.02534525841474533
synth_checker,1,1.302673578262329,0.015916822478175163,0.012440823018550873,0.042279068380594254,0.0,0.0
synth_checker,2,1.3628672361373901,0.01640184037387371,0.012031479738652706,0.05348018556833267,0.06019356846809387,0.0174433384090662
synth_checker,3,1.3995766639709473,0.011669844388961792,0.009480344131588936,0.03381843492388725,0.03670955076813698,0.021066708490252495
synth_checker,4,1.4095124006271362,0.025385268032550812,0.01617792248725891,0.0634998008608818,0.009935696609318256,0.02497675083577633
synth_checker,5,1.3554917573928833,0.1877104490995407,0.10068686306476593,0.3415503203868866,-0.0540207102894783,0.16475635766983032
