video,L_trans,peak_dHstd,median_dHstd,peak_over_median
ssv2_0,24,0.07929284870624542,0.014031678438186646,5.650988159082462
ssv2_1,24,0.056546684354543686,0.011685699224472046,4.838964555593244
ssv2_2,24,0.0456046424806118,0.01609957590699196,2.8326611051168094
ssv2_3,24,0.053621042519807816,0.012484431266784668,4.295032859243557
ssv2_4,3,0.08126167953014374,0.012733601033687592,6.381673127276451
const,24,0.07886694371700287,0.012176364660263062,6.47705172418013
