baseline,layer,topK,n_images,entropy_precision_mean,baseline_precision_mean,diff_mean,diff_median,diff_q25,diff_q75,paired_bootstrap_p,n_boot
L2 norm,9,30,200,0.23650000989437103,0.2095000147819519,0.026999998837709427,0.03333333134651184,-0.03333333134651184,0.06666667759418488,0.0,2000
attn entropy,9,30,200,0.23650000989437103,0.19883334636688232,0.03766666352748871,0.03333333879709244,-0.03333333134651184,0.10000000149011612,0.0,2000
random-init H,9,30,200,0.23650000989437103,0.12183334678411484,0.11466667056083679,0.11666666716337204,0.02499999850988388,0.20000001788139343,0.0,2000
