video,arch,layer,kfrac,k_ccs,metric,value
synth_translating_blob,dinov2_b,5,0.05,5,bundle_iou,0.033950617283950615
synth_translating_blob,dinov2_b,5,0.05,20,bundle_iou,0.05804749340369393
synth_translating_blob,dinov2_b,5,0.05,50,bundle_iou,0.06060606060606061
synth_translating_blob,dinov2_b,5,0.05,100,bundle_iou,0.0688622754491018
synth_translating_blob,dinov2_b,5,0.05,250,bundle_iou,0.07063829787234042
synth_translating_blob,dinov2_b,5,0.05,1000,bundle_iou,0.07307692307692308
synth_translating_blob,dinov2_b,5,0.05,-1,per_frame_overlap,0.11562933273350745
synth_translating_blob,dinov2_b,5,0.1,1,bundle_iou,0.21406727828746178
synth_translating_blob,dinov2_b,5,0.1,5,bundle_iou,0.1928406466512702
synth_translating_blob,dinov2_b,5,0.1,20,bundle_iou,0.15691489361702127
synth_translating_blob,dinov2_b,5,0.1,50,bundle_iou,0.1349380014587892
synth_translating_blob,dinov2_b,5,0.1,100,bundle_iou,0.11813537675606642
synth_translating_blob,dinov2_b,5,0.1,250,bundle_iou,0.1076158940397351
synth_translating_blob,dinov2_b,5,0.1,1000,bundle_iou,0.10423940149625935
synth_translating_blob,dinov2_b,5,0.1,-1,per_frame_overlap,0.12744235979290364
synth_translating_blob,dinov2_b,5,0.2,1,bundle_iou,0.29881422924901185
synth_translating_blob,dinov2_b,5,0.2,5,bundle_iou,0.17142857142857143
synth_translating_blob,dinov2_b,5,0.2,20,bundle_iou,0.1529126213592233
synth_translating_blob,dinov2_b,5,0.2,50,bundle_iou,0.13989637305699482
synth_translating_blob,dinov2_b,5,0.2,100,bundle_iou,0.13070539419087138
synth_translating_blob,dinov2_b,5,0.2,250,bundle_iou,0.12103746397694524
synth_translating_blob,dinov2_b,5,0.2,1000,bundle_iou,0.10912755542758422
synth_translating_blob,dinov2_b,5,0.2,-1,per_frame_overlap,0.11827659684916181
synth_translating_blob,dinov2_b,5,0.05,-1,centroid_pearson_r_x,0.4045591313197215
synth_translating_blob,dinov2_b,5,0.05,-1,centroid_pearson_r_y,0.0425188388783494
synth_translating_blob,dinov2_b,11,0.02,1,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.02,5,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.02,20,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.02,50,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.02,100,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.02,250,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.02,1000,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.02,-1,per_frame_overlap,0.0
synth_translating_blob,dinov2_b,11,0.05,1,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.05,5,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.05,20,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.05,50,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.05,100,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.05,250,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.05,1000,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.05,-1,per_frame_overlap,0.0
synth_translating_blob,dinov2_b,11,0.1,1,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.1,5,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.1,20,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.1,50,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.1,100,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.1,250,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.1,1000,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.1,-1,per_frame_overlap,0.0
synth_translating_blob,dinov2_b,11,0.2,1,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.2,5,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.2,20,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.2,50,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.2,100,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.2,250,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.2,1000,bundle_iou,0.0
synth_translating_blob,dinov2_b,11,0.2,-1,per_frame_overlap,0.0
synth_translating_blob,dinov2_b,11,0.05,-1,centroid_pearson_r_x,0.04474641230259919
synth_translating_blob,dinov2_b,11,0.05,-1,centroid_pearson_r_y,-0.11358256206694295
real_clip,vit_b16,5,0.02,-1,edge_frac,1.0
real_clip,vit_b16,5,0.05,-1,edge_frac,0.8724082934609251
real_clip,vit_b16,5,0.1,-1,edge_frac,0.4824561403508772
real_clip,vit_b16,5,0.2,-1,edge_frac,0.2551834130781499
real_clip,vit_b16,11,0.02,-1,edge_frac,1.0
real_clip,vit_b16,11,0.05,-1,edge_frac,0.8819776714513556
real_clip,vit_b16,11,0.1,-1,edge_frac,0.49282296650717705
real_clip,vit_b16,11,0.2,-1,edge_frac,0.25637958532695376
real_clip,dinov2_b,5,0.02,-1,edge_frac,0.8807339449541285
real_clip,dinov2_b,5,0.05,-1,edge_frac,0.7130647130647131
real_clip,dinov2_b,5,0.1,-1,edge_frac,0.6709401709401709
real_clip,dinov2_b,5,0.2,-1,edge_frac,0.5173992673992674
real_clip,dinov2_b,11,0.02,-1,edge_frac,0.8379204892966361
real_clip,dinov2_b,11,0.05,-1,edge_frac,0.8278388278388278
real_clip,dinov2_b,11,0.1,-1,edge_frac,0.7374847374847375
real_clip,dinov2_b,11,0.2,-1,edge_frac,0.5723443223443223
