arch,layer,norm,n_outliers,mean_nn_dist_outlier,mean_nn_dist_bulk,ratio_outlier_over_bulk
vit_b16,1,raw,392,10.609761740017909,21.707872676912647,0.4887517951633231
vit_b16,1,std,392,14.566102869340353,23.366983715765404,0.6233625634579781
vit_b16,5,raw,392,46.03287909843484,45.181287645376536,1.0188483218925135
vit_b16,5,std,392,2.5845855015212176,27.833361563892023,0.09285926515157902
vit_b16,6,raw,392,57.9668421012528,50.454246989484915,1.1488991623110256
vit_b16,6,std,392,1.3906965624373786,27.248617104575676,0.05103732630173912
vit_b16,12,raw,392,157.06061919840016,131.27550097281994,1.1964198805908113
vit_b16,12,std,392,1.9038546047652405,16.444093802091643,0.11577741088554697
dinov2_b,1,raw,512,0.32026594564318656,1.0407349584605239,0.3077305542968696
dinov2_b,1,std,512,6.7525140439625835,17.35660464288309,0.3890457945489579
dinov2_b,7,raw,512,3.1002066161995754,3.365654369910916,0.9211304178811545
dinov2_b,7,std,512,21.532453575748953,25.827335919237534,0.8337078838902029
dinov2_b,8,raw,512,4.779656956661492,5.050858900815418,0.9463057770015825
dinov2_b,8,std,512,22.88957126205787,26.264026168305993,0.871517988726335
dinov2_b,12,raw,512,30.967089595925064,35.44731136543902,0.8736089819810099
dinov2_b,12,std,512,8.656226760305,18.596116932591734,0.4654857135864753
